first_name,last_name,full_name,position,committee,date,work_place,role,raw_line
"חוקר,",המכון הגיאולוגי,"חוקר, המכון הגיאולוגי",שמואל דוד איתי גבריאלי,10,2016-11-02,,,"חוקר, המכון הגיאולוגי  - שמואל דוד איתי גבריאלי"
אגף,"תכנון, רשות מקרקעי ישראל","אגף תכנון, רשות מקרקעי ישראל",דוד דשן דויטש,10,2016-11-02,,,"אגף תכנון, רשות מקרקעי ישראל  - דוד דשן דויטש"
"סמנכ""ל","כספים וכלכה, החברה הממשלתית להגנות ים המלח","סמנכ""ל כספים וכלכה, החברה הממשלתית להגנות ים המלח",ניר קדמי,10,2016-11-02,,,"סמנכ""ל כספים וכלכה, החברה הממשלתית להגנות ים המלח  - ניר קדמי"
מנהל,"תחום אחזקת מסעות וניקוז, חברת נתיבי ישראל","מנהל תחום אחזקת מסעות וניקוז, חברת נתיבי ישראל",לאוניד קירז'ניר,10,2016-11-02,,,"מנהל תחום אחזקת מסעות וניקוז, חברת נתיבי ישראל  - לאוניד קירז'ניר"
מהנדס,"המועצה, המועצה האזורית תמר","מהנדס המועצה, המועצה האזורית תמר",גיא דוננפלד,10,2016-11-02,,,"מהנדס המועצה, המועצה האזורית תמר  - גיא דוננפלד"
עוזר,"ראש המועצה, המועצה האזורית תמר","עוזר ראש המועצה, המועצה האזורית תמר",שחף חומרי,10,2016-11-02,,,"עוזר ראש המועצה, המועצה האזורית תמר  - שחף חומרי"
מנהלת,"קשרי חוץ ודוברות, המועצה האזורית תמר","מנהלת קשרי חוץ ודוברות, המועצה האזורית תמר",עפרה גזית,10,2016-11-02,,,"מנהלת קשרי חוץ ודוברות, המועצה האזורית תמר  - עפרה גזית"
רכז,"ים וחופים, עמותת צלול","רכז ים וחופים, עמותת צלול",יובל ארבל,10,2016-11-02,,,"רכז ים וחופים, עמותת צלול  - יובל ארבל"
ראש,"מערכת תשתיות, מפעלי ים המלח","ראש מערכת תשתיות, מפעלי ים המלח",טובי שור,10,2016-11-02,,,"ראש מערכת תשתיות, מפעלי ים המלח  - טובי שור"
מנהל,"חטיבת מורשת ונוף, רשות הטבע והגנים","מנהל חטיבת מורשת ונוף, רשות הטבע והגנים",פלד יובל,10,2016-11-02,,,"מנהל חטיבת מורשת ונוף, רשות הטבע והגנים  - פלד יובל"
נציגת,החברה להגנת הטבע,נציגת החברה להגנת הטבע,גיתית ויסבלום,10,2016-11-02,,,נציגת החברה להגנת הטבע - גיתית ויסבלום
אנה,בר,אנה בר,אור,10,2016-11-02,,,אנה בר-אור
